dataset,reported_as,dataset_hash,actual_data_path,class_policy,sample_policy,train_rows,test_rows,num_classes,noise_type,tail_flip_rate,effective_flip_rate_train,seed,method,training_mode,macro_f1,fpr,fnr,tail_macro_f1,tail_recall,rare_recovery_rate,rare_recovery_rate_oof_audit,rare_retained_rate,rare_clean_suspicious_count,rare_recovered_count,rare_recovery_eval,err,err_tail,err_final,err_final_degree,mean_weight,retained_fraction,semisup_candidate_count,semisup_selected_count,runtime_sec,memory_mb,tail_labels,tail_label_names,active_views,source_verified,replacement_for
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_5000,10000,5000,11,tail_asymmetric,0.8,0.0207,0,Graph-CoLD-soft,scalar_soft,0.6513997760365882,0.0040844111640571815,0.04701217785329935,0.2523240313484216,0.1484375,1.0,1.0,1.0,16,16,final_trained_classifier_predictions_on_training_nodes,1.0,1.0,1.0,0.852934631441588,0.87732532599681,1.0,0,0,0.4639716999954544,7.564786911010742,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_5000,10000,5000,11,tail_asymmetric,0.8,0.0207,0,Graph-CoLD-semisup,evidence_semisup,0.570468237840235,0.0034036759700476512,0.033701500991220615,0.0693966693966694,0.0390625,0.0,0.0,1.0,16,0,final_trained_classifier_predictions_on_training_nodes,1.0,1.0,1.0,0.852934631441588,0.87732532599681,1.0,27,26,0.6622274999972433,8.339223861694336,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_5000,10000,5000,11,tail_asymmetric,0.4,0.0103,1,CoLD,cold_hard,0.5945926717295036,0.0020422055820285907,0.11016709147550269,0.1695906432748538,0.1796875,0.0,0.0,0.0,13,0,final_trained_classifier_predictions_on_training_nodes,0.7418621070643793,0.41152707068719474,0.5766945888757871,0.5766945888757871,0.9834,0.9834,0,0,0.5603831999469548,7.227622032165527,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_5000,10000,5000,11,tail_asymmetric,0.4,0.0103,1,ablation_hard,hard_deletion,0.7604407157523226,0.0040844111640571815,0.09572359105069385,0.5364537248465819,0.4765625,0.0,0.0,0.0,13,0,final_trained_classifier_predictions_on_training_nodes,0.9669856315566512,0.9298456212525198,0.9484156264045855,0.9484156264045855,0.9934,0.9934,0,0,0.49150090001057833,7.635916709899902,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_5000,10000,5000,11,tail_asymmetric,0.4,0.0103,1,Graph-CoLD-soft,scalar_soft,0.7911597784362396,0.0034036759700476512,0.0940243557065987,0.5970611588522037,0.546875,1.0,1.0,1.0,13,13,final_trained_classifier_predictions_on_training_nodes,1.0,1.0,1.0,0.8735055902152098,0.8766812590218224,1.0,0,0,0.5617821000050753,7.631748199462891,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_5000,10000,5000,11,tail_asymmetric,0.4,0.0103,1,Graph-CoLD-semisup,evidence_semisup,0.779490668590735,0.0020422055820285907,0.09430756159728122,0.5746475741239891,0.5,0.0,0.0,1.0,13,0,final_trained_classifier_predictions_on_training_nodes,1.0,1.0,1.0,0.8735055902152098,0.8766812590218224,1.0,24,23,0.742266799963545,8.114847183227539,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_5000,10000,5000,11,tail_asymmetric,0.6,0.0155,1,CoLD,cold_hard,0.5181919574357983,0.002722940776038121,0.11186632681959785,0.0,0.0,0.0,0.0,0.0,12,0,final_trained_classifier_predictions_on_training_nodes,0.703098676448656,0.2814737191466166,0.49228619779763627,0.49228619779763627,0.984,0.984,0,0,0.4620573000283912,6.636467933654785,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_5000,10000,5000,11,tail_asymmetric,0.6,0.0155,1,ablation_hard,hard_deletion,0.6775767877106585,0.002722940776038121,0.10252053242707448,0.3490479030013913,0.2734375,0.0,0.0,0.0,12,0,final_trained_classifier_predictions_on_training_nodes,0.9596112302176635,0.9039530524351785,0.931782141326421,0.931782141326421,0.994,0.994,0,0,0.44512079999549314,7.534701347351074,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_5000,10000,5000,11,tail_asymmetric,0.6,0.0155,1,Graph-CoLD-soft,scalar_soft,0.6765650160154402,0.002722940776038121,0.08269612007929765,0.33650956945789773,0.2578125,1.0,1.0,1.0,12,12,final_trained_classifier_predictions_on_training_nodes,1.0,1.0,1.0,0.8664282963991882,0.8768407721140393,1.0,0,0,0.4376607000012882,7.4935407638549805,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,p2d_real_audit_window_train_10000_test_5000,10000,5000,11,tail_asymmetric,0.6,0.0155,1,Graph-CoLD-semisup,evidence_semisup,0.6647961454759715,0.0013614703880190605,0.10875106202209006,0.32327386898815463,0.2421875,0.0,0.0,1.0,12,0,final_trained_classifier_predictions_on_training_nodes,1.0,1.0,1.0,0.8664282963991882,0.8768407721140393,1.0,21,20,0.6889794000308029,7.6391191482543945,"[1, 5, 6, 9, 10]","[""1"", ""5"", ""6"", ""9"", ""10""]",host|ip|temporal,True,
