dataset,reported_as,noise_type,noise_rate,graph_beta,seed,method,review_budget,topk_recall,precision
cicids2017,CICIDS-2017,clean,0.0,none,0,Graph-CoLD,1.0,1.0,0.49996778973136635
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.02,0.03994330627496457,0.9967845659163987
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.04,0.07988661254992914,0.998389694041868
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.06,0.11995876819997423,0.9989270386266095
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.08,0.1599020744749388,0.999194847020934
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.1,0.1999742301249839,0.9993560849967804
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.12000000000000001,0.23991753639994845,0.9994632313472893
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.13999999999999999,0.2799896920499936,0.999540018399264
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.16,0.31993299832495814,0.999597423510467
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.18,0.3600051539750032,0.9996422182468694
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.19999999999999998,0.3999484602499678,0.9996779388083736
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.22,0.4400206159000129,0.9997072599531616
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.24,0.47996392217497746,0.9997316156736447
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.26,0.519907228449942,0.9997522299306244
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.28,0.5599793840999872,0.9997699562916954
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.30000000000000004,0.5999226903749517,0.999785269486794
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.32,0.6399948460249968,0.9997987117552335
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.34,0.6799381522999614,0.9998105342932929
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.36000000000000004,0.7200103079500064,0.9998210771157631
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.38,0.759953614224971,0.9998304797423292
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.4,0.8000257698750161,0.9998389694041868
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.42000000000000004,0.8399690761499806,0.9998466257668711
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.44,0.8800412318000258,0.9998536085492608
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.46,0.9199845380749904,0.9998599635905335
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.48000000000000004,0.9600566937250354,0.9998658078368223
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.5,0.9992269037495168,0.9990981705745942
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.52,0.9992269037495168,0.9607284440039643
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.54,0.9992269037495168,0.9250864845520697
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.56,0.9992269037495168,0.8920970896123318
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.5800000000000001,0.9992269037495168,0.8612838738338516
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.6,0.9993557531245973,0.8327249302125832
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.62,0.9994846024996779,0.8059220779220779
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.64,0.9994846024996779,0.7807750377453447
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.66,0.9994846024996779,0.7570759320710522
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.68,0.9994846024996779,0.7348427434634331
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.7000000000000001,0.9996134518747584,0.713904481457624
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.7200000000000001,0.9996134518747584,0.694103963496466
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.74,0.999742301249839,0.6754004178272981
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.76,0.9998711506249195,0.6577385997626717
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.78,0.9998711506249195,0.6408985794516022
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.8,0.9998711506249195,0.6248490216603592
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.8200000000000001,0.9998711506249195,0.609631550003928
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.8400000000000001,0.9998711506249195,0.5950920245398773
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.86,0.9998711506249195,0.5812734082397004
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.88,0.9998711506249195,0.5680404069980236
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.9,1.0,0.555507837663732
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.92,1.0,0.5434112869346029
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.9400000000000001,1.0,0.5318667763157895
cicids2017,CICIDS-2017,clean,0.0,none,0,CoLD,0.9600000000000001,1.0,0.5207676306783869
