dataset,reported_as,dataset_hash,actual_data_path,class_policy,num_classes,sample_policy,sample_size,sample_seed,sampling_stratified,noise_type,noise_rate,graph_beta,seed,split_id,noise_seed,model_seed,method,method_family,implementation_status,macro_f1,fpr,fnr,err,err_tail,err_final,compression_ratio,mean_weight,retained_fraction,retained_fraction_clean_informative,n_eff_ratio,runtime_sec,memory_mb,active_views,source_verified,replacement_for,faithfulness_level,baseline_source,smoke_passed,implementation_notes
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.1,0.6,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.6215784247117674,0.3851563345234231,0.0007990303900884,0.3186396122311419,0.4807702660145563,0.3997049391228491,0.9996192893401016,0.2878605454640632,0.2878605454640632,0.2837069937958262,0.2878605454640632,15.37274449999677,422.1736526489258,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.2,0.0,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5595630736827906,0.3095531753759601,0.0036450150379314,0.1292363463752669,0.1987958110657275,0.1640160787204972,0.999733502538071,0.1145179481566436,0.1145179481566436,0.1089308375634517,0.1145179481566436,14.064626300008968,422.1734008789063,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.2,0.6,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5476159232253388,0.3541274477983339,0.001714773084347,0.0874671011499532,0.1264449979974761,0.1069560495737147,0.984003807106599,0.0834074927149313,0.0834074927149313,0.0744685913705583,0.0834074927149313,13.95444739999948,422.17362213134766,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.4,0.0,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5370542217707853,0.1917991993941361,0.0090676482470709,0.129940567680996,0.2519135736133215,0.1909270706471587,0.99625,0.0708265717426582,0.0708265717426582,0.0812502643488558,0.0708265717426582,13.996600400016176,422.1733703613281,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.4,0.6,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.4619134080519178,0.4109488261386995,2.6933608654666247e-05,0.2408553784032422,0.2363513695209434,0.2386033739620928,0.973293147208122,0.2397386417173885,0.2397386417173885,0.2505181895093062,0.2397386417173885,14.664101999951528,422.17357635498047,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.6,0.0,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.5533789463787415,0.1912149734934545,0.016941239843785,0.1814582858877794,0.3278024978565526,0.254630391872166,0.9994670050761422,0.097563606541254,0.097563606541254,0.1177506345177665,0.097563606541254,14.223288799985312,422.1733322143554,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,graph_consistency,0.6,0.6,0,8c6a3f10d9fc1435,0,0,Decoupling,decoupling,implemented_smoke_passed,0.49899361129008,0.5315373796386454,0.0001077344346186,0.4012682729457043,0.3677250367711705,0.3844966548584374,0.9998350253807108,0.3723689282502034,0.3723689282502034,0.4359612944162436,0.3723689282502034,15.583868000016082,422.1735610961914,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,clean,0.0,none,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.6492258199536887,0.2121389159363843,0.0092382277685505,1.0,1.0,1.0,0.9999682741116752,0.0916530641704698,0.0916530641704698,0.0916530641704698,0.0916530641704698,14.334546800004318,422.1744613647461,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,symmetric,0.1,none,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.504214308122475,0.3181650979119333,0.002118777214167,0.2414033428581685,0.313648774270934,0.2775260585645513,0.9794733502538072,0.2523163900957965,0.2523163900957965,0.2318950930626057,0.2523163900957965,14.818108399980702,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
cicids2017,CICIDS-2017,2585508ac445a94a3eb2244aa64778678928d201555396b4b9afc1ed6a2f1ab4,C:\Users\g14370\graph-cold\data\cicids2017,postfilter11,11,full_postfilter11_after_min_count_and_dominant_downsample,787999,42,True,symmetric,0.2,none,1,2db13328481444d2,1,1,Decoupling,decoupling,implemented_smoke_passed,0.6504501343988947,0.1711781888997079,0.0675584683754545,0.1094166470280769,0.1693890013114238,0.1394028241697503,0.9983756345177665,0.0764150958361291,0.0764150958361291,0.083240139275545,0.0764150958361291,13.974674700002652,422.1733169555664,host|ip|temporal,True,,standard tabular implementation of disagreement-update Decoupling,local_sklearn_sgd_disagreement_update,True,two SGD classifiers update on post-warmup disagreements using noisy_y_train
