dataset,reported_as,dataset_hash,actual_data_path,class_policy,num_classes,sample_policy,sample_size,sample_seed,sampling_stratified,noise_type,noise_rate,graph_beta,seed,split_id,noise_seed,model_seed,method,macro_f1,fpr,fnr,tail_recall,err,err_tail,err_final,compression_ratio,mean_weight,retained_fraction,retained_fraction_clean_informative,n_eff_ratio,runtime_sec,memory_mb,active_views,source_verified,replacement_for
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.2,none,0,8dde8f9aa7025983,0,0,Graph-CoLD,0.9950437652158886,0.009009009009009,0.0,0.9971226785247188,1.0,1.0,1.0,0.9730061349693252,0.7889244541005507,0.8000163602527659,1.0,0.79788909883303,0.7363747999770567,19.93428611755371,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.2,none,0,8dde8f9aa7025983,0,0,ablation_hard,0.9952551689112004,0.012012012012012,0.0,0.9976458278838608,0.9442695744290522,0.9502408627176088,0.9472552185733304,0.9730879345603272,0.7960080983251191,0.7960080983251191,0.9867986798679867,0.7960080983251191,0.7740264000021853,19.94428539276123,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.2,none,1,6fde7f9c9f8d0227,1,1,CoLD,0.9925847302466605,0.012012012012012012,8.409014463504877e-05,0.9911064608945854,0.8701453311895035,0.8714648041993684,0.870805067694436,0.9935378323108385,0.7880324751017403,0.7880324751017403,0.9594772145771385,0.7880324751017403,0.3283926000003703,20.883082389831543,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.2,none,1,6fde7f9c9f8d0227,1,1,Graph-CoLD,0.9952785636540448,0.012012012012012,8.409014463504877e-05,0.9963379544860056,1.0,1.0,1.0,0.9935378323108384,0.7889183559307172,0.8000163602527659,1.0,0.7978594495272266,0.6674017999903299,19.8396520614624,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.2,none,1,6fde7f9c9f8d0227,1,1,ablation_hard,0.9948776612042995,0.009009009009009,0.0,0.9958148051268636,0.9435611459277548,0.9493107109104746,0.9464359284191148,0.9730061349693252,0.7960080983251191,0.7960080983251191,0.9864463038517391,0.7960080983251191,0.7234057000023313,17.611740112304688,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.2,none,2,091f7f858b750a40,2,2,CoLD,0.9929113671890277,0.003003003003003003,8.409014463504877e-05,0.9934606330107245,0.8731489088832355,0.8765570470236532,0.8748529779534444,0.9943558282208589,0.7880324751017403,0.7880324751017403,0.9594660026284845,0.7880324751017403,0.409332400013227,21.098949432373047,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.2,none,2,091f7f858b750a40,2,2,Graph-CoLD,0.9954516024856184,0.003003003003003,8.409014463504877e-05,0.9981689772430028,1.0,1.0,1.0,0.9943558282208588,0.7889260343795428,0.8000163602527659,1.0,0.7978806892705116,0.6424307000124827,19.85130023956299,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.2,none,2,091f7f858b750a40,2,2,ablation_hard,0.9959590394472408,0.009009009009009,0.0,0.9992152759612868,0.9439211546056532,0.9539328698747256,0.9489270122401894,0.9730061349693252,0.7960080983251191,0.7960080983251191,0.9864425537801756,0.7960080983251191,0.6573811999987811,18.33170986175537,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.4,none,0,8dde8f9aa7025983,0,0,CoLD,0.9911071919213762,0.009009009009009009,0.0,0.9895370128171593,0.8724605880129324,0.8705630443321801,0.8715118161725562,0.9730061349693252,0.5910345814842839,0.5910345814842839,0.9605605965322074,0.5910345814842839,0.2959188999957405,21.888419151306152,ip|temporal,True,MALTLS-22
cesnet_tls_year22,CESNET-TLS-Year22,490bb4402e111c4ef752272e17d8faee44ce9ef25a0063c7c84ff4d3cb7f9084,E:\graphcold-data\tls_alternative\cesnet_tls_year22,postfilter,25,deterministic_audit_window_100000_then_postfilter25_stratified_split,61124,42,True,asymmetric,0.4,none,0,8dde8f9aa7025983,0,0,Graph-CoLD,0.9955439408210516,0.015015015015015,0.0,0.998430551922574,1.0,1.0,1.0,0.9731697341513292,0.5921101199079312,0.6000122701895745,1.0,0.5992550214652403,0.6430869000032544,19.936229705810547,ip|temporal,True,MALTLS-22
