dataset,noise_type,noise_rate,graph_beta,seed,graphcold_macro_f1,hard_macro_f1,macro_f1_delta,graphcold_fnr,hard_fnr,fnr_delta_graphcold_minus_hard,graphcold_high_noise_fnr,hard_high_noise_fnr,tail_recall_graphcold,tail_recall_hard,tail_recall_delta
cesnet_tls_year22,asymmetric,0.1,none,0,0.996233858973445,0.9956886117599458,0.0005452472134991337,0.0,0.0,0.0,,,0.9986921266021448,0.9981689772430028,0.0005231493591419945
cesnet_tls_year22,asymmetric,0.1,none,1,0.9950310607106412,0.994565360833061,0.0004656998775801613,0.00016818028927,0.0,0.00016818028927,,,0.9960763798064348,0.9958148051268636,0.00026157467957121927
cesnet_tls_year22,asymmetric,0.1,none,2,0.9956864075111908,0.9951197127693254,0.0005666947418653256,0.0,0.0,0.0,,,0.9981689772430028,0.9981689772430028,0.0
cesnet_tls_year22,asymmetric,0.2,none,0,0.9950437652158886,0.9952551689112004,-0.00021140369531180703,0.0,0.0,0.0,,,0.9971226785247188,0.9976458278838608,-0.0005231493591419945
cesnet_tls_year22,asymmetric,0.2,none,1,0.9952785636540448,0.9948776612042995,0.0004009024497452218,8.409014463504877e-05,0.0,8.409014463504877e-05,,,0.9963379544860056,0.9958148051268636,0.0005231493591419945
cesnet_tls_year22,asymmetric,0.2,none,2,0.9954516024856184,0.9959590394472408,-0.0005074369616224761,8.409014463504877e-05,0.0,8.409014463504877e-05,,,0.9981689772430028,0.9992152759612868,-0.001046298718283989
cesnet_tls_year22,asymmetric,0.4,none,0,0.9955439408210516,0.9954557362884432,8.820453260838246e-05,0.0,0.0,0.0,0.0,0.0,0.998430551922574,0.997907402563432,0.0005231493591419945
cesnet_tls_year22,asymmetric,0.4,none,1,0.9944847390047656,0.9937459984401086,0.0007387405646570588,0.00016818028927,0.00016818028927,0.0,0.00016818028927,0.00016818028927,0.9960763798064348,0.9952916557677216,0.0007847240387132137
cesnet_tls_year22,asymmetric,0.4,none,2,0.9949096829404124,0.994903184281135,6.498659277376362e-06,0.0,0.0,0.0,0.0,0.0,0.997907402563432,0.997907402563432,0.0
cesnet_tls_year22,asymmetric,0.6,none,0,0.9950938504187034,0.9941144695283568,0.0009793808903465484,8.409014463504877e-05,0.00016818028927,-8.409014463495122e-05,8.409014463504877e-05,0.00016818028927,0.9973842532042898,0.9963379544860056,0.001046298718284211
cesnet_tls_year22,asymmetric,0.6,none,1,0.9942435173019558,0.993483792618056,0.0007597246838998428,0.0002522704339051,8.409014463504877e-05,0.00016818028927005125,0.0002522704339051,8.409014463504877e-05,0.9950300810881508,0.9942453570494376,0.0007847240387132137
cesnet_tls_year22,asymmetric,0.6,none,2,0.994308193533852,0.9942727656004212,3.542793343080941e-05,0.00016818028927,0.0002522704339051,-8.409014463510003e-05,0.00016818028927,0.0002522704339051,0.9973842532042898,0.997907402563432,-0.0005231493591422165
cesnet_tls_year22,clean,0.0,none,0,0.9956694970682838,0.9960327793843458,-0.0003632823160619747,0.0,0.0,0.0,,,0.9973842532042898,0.9981689772430028,-0.0007847240387129917
cesnet_tls_year22,clean,0.0,none,1,0.9959706766462876,0.9950324724940248,0.000938204152262756,0.00016818028927,8.409014463504877e-05,8.409014463495122e-05,,,0.9968611038451478,0.9958148051268636,0.001046298718284211
cesnet_tls_year22,clean,0.0,none,2,0.9956633333185826,0.995715105767064,-5.177244848142415e-05,8.409014463504877e-05,8.409014463504877e-05,0.0,,,0.9986921266021448,0.998953701281716,-0.00026157467957121927
cesnet_tls_year22,graph_consistency,0.1,0.0,0,0.9956717250152464,0.995812085530272,-0.0001403605150256393,0.0,0.0,0.0,,,0.998430551922574,0.998430551922574,0.0
cesnet_tls_year22,graph_consistency,0.1,0.0,1,0.9953411866740258,0.9948207688587136,0.0005204178153122019,8.409014463504877e-05,0.00016818028927,-8.409014463495122e-05,,,0.9965995291655768,0.9963379544860056,0.00026157467957121927
cesnet_tls_year22,graph_consistency,0.1,0.0,2,0.9958341277077908,0.9953508858380188,0.0004832418697719998,0.0,0.0,0.0,,,0.999476850640858,0.998953701281716,0.0005231493591419945
cesnet_tls_year22,graph_consistency,0.1,0.6,0,0.996002798585748,0.9950872454437216,0.000915553142026404,0.0,0.0,0.0,,,0.9986921266021448,0.9973842532042898,0.0013078733978549861
