Dataset,Method,Canonical Macro-F1 headline,Canonical protocol,Macro-F1 mean,FPR mean,FNR mean,ERR mean,Compression ratio mean,Scenario count
CICIDS-2017,Graph-CoLD,0.594480,p2_canonical_scenario_mean_v1,0.3561,0.1359,0.3289,0.7557,0.9995,24
CICIDS-2017,CoLD,0.572804,p2_canonical_scenario_mean_v1,0.3338,0.1293,0.3287,0.6278,0.9995,24
CICIDS-2017,ablation_hard,0.595042,p2_canonical_scenario_mean_v1,0.3532,0.1351,0.3311,0.7557,0.9995,24
CICIDS-2017,Noisy-Supervised,0.524574,p2_canonical_scenario_mean_v1,0.2812,0.2614,0.3365,1.0000,0.9993,24
CICIDS-2017,Confident-Learning,0.518524,p2_canonical_scenario_mean_v1,0.2746,0.2920,0.2939,0.5826,0.9981,24
CICIDS-2017,Co-Teaching,0.586272,p2_canonical_scenario_mean_v1,0.3505,0.2121,0.2929,0.5523,0.9989,24
CICIDS-2017,Decoupling,0.401641,p2_canonical_scenario_mean_v1,0.2350,0.6458,0.1002,0.8410,0.9905,24
CICIDS-2017,FINE,0.527803,p2_canonical_scenario_mean_v1,0.2791,0.3322,0.2454,0.4377,0.9970,24
CICIDS-2017,MCRe,0.568133,p2_canonical_scenario_mean_v1,0.3102,0.3956,0.2176,0.5857,0.9994,24
CICIDS-2017,MORSE,0.558291,p2_canonical_scenario_mean_v1,0.3002,0.4441,0.1954,0.8065,0.9993,24
CESNET-TLS-Year22,Graph-CoLD,0.594480,p2_canonical_scenario_mean_v1,0.7257,0.1883,0.1533,0.9204,0.9992,24
CESNET-TLS-Year22,CoLD,0.572804,p2_canonical_scenario_mean_v1,0.7197,0.1771,0.1548,0.8614,0.9983,24
CESNET-TLS-Year22,ablation_hard,0.595042,p2_canonical_scenario_mean_v1,0.7265,0.1971,0.1526,0.9204,0.9988,24
CESNET-TLS-Year22,Noisy-Supervised,0.524574,p2_canonical_scenario_mean_v1,0.5368,0.3275,0.1638,1.0000,0.9998,24
CESNET-TLS-Year22,Confident-Learning,0.518524,p2_canonical_scenario_mean_v1,0.6054,0.2758,0.1119,0.6531,0.9982,24
CESNET-TLS-Year22,Co-Teaching,0.586272,p2_canonical_scenario_mean_v1,0.7125,0.3113,0.0447,0.5931,0.9981,24
CESNET-TLS-Year22,Decoupling,0.401641,p2_canonical_scenario_mean_v1,0.5082,0.5015,0.0273,0.7250,0.9988,24
CESNET-TLS-Year22,FINE,0.527803,p2_canonical_scenario_mean_v1,0.6178,0.3090,0.1361,0.6912,0.9982,24
CESNET-TLS-Year22,MCRe,0.568133,p2_canonical_scenario_mean_v1,0.7527,0.1385,0.1268,0.8112,0.9977,24
CESNET-TLS-Year22,MORSE,0.558291,p2_canonical_scenario_mean_v1,0.7269,0.2407,0.1067,0.9426,0.9972,24
UNSW-NB15,Graph-CoLD,0.594480,p2_canonical_scenario_mean_v1,0.3404,0.1150,0.2280,0.5684,0.9951,24
UNSW-NB15,CoLD,0.572804,p2_canonical_scenario_mean_v1,0.3381,0.1173,0.2306,0.4801,0.9957,24
UNSW-NB15,ablation_hard,0.595042,p2_canonical_scenario_mean_v1,0.3408,0.1123,0.2282,0.5684,0.9867,24
UNSW-NB15,Noisy-Supervised,0.524574,p2_canonical_scenario_mean_v1,0.3000,0.1991,0.2320,1.0000,0.9926,24
UNSW-NB15,Confident-Learning,0.518524,p2_canonical_scenario_mean_v1,0.3009,0.2283,0.2016,0.5811,0.9476,24
UNSW-NB15,Co-Teaching,0.586272,p2_canonical_scenario_mean_v1,0.3556,0.2054,0.1398,0.5324,0.9378,24
UNSW-NB15,Decoupling,0.401641,p2_canonical_scenario_mean_v1,0.2484,0.5032,0.0819,0.6815,0.9880,24
UNSW-NB15,FINE,0.527803,p2_canonical_scenario_mean_v1,0.2834,0.2897,0.2259,0.6520,0.9856,24
UNSW-NB15,MCRe,0.568133,p2_canonical_scenario_mean_v1,0.3202,0.3487,0.1333,0.5137,0.9121,24
UNSW-NB15,MORSE,0.558291,p2_canonical_scenario_mean_v1,0.3204,0.3733,0.1162,0.8117,0.9222,24
