Dataset,Noise type,Noise rate,Graph beta,Method,Macro-F1 mean +/- std,FPR mean +/- std,FNR mean +/- std,ERR mean +/- std,Compression ratio mean +/- std,Runtime mean +/- std (s)
CESNET-TLS-Year22,clean,0.0,none,CoLD,0.9956 +/- 0.0005,0.0090 +/- 0.0030,0.0001 +/- 0.0000,1.0000 +/- 0.0000,0.9857 +/- 0.0111,0.44 +/- 0.02
CESNET-TLS-Year22,clean,0.0,none,Confident-Learning,0.9782 +/- 0.0073,0.0100 +/- 0.0046,0.0001 +/- 0.0000,1.0000 +/- 0.0000,0.9731 +/- 0.0001,15.48 +/- 2.74
CESNET-TLS-Year22,clean,0.0,none,Decoupling,0.8204 +/- 0.0269,0.1191 +/- 0.0321,0.0004 +/- 0.0002,1.0000 +/- 0.0000,0.9918 +/- 0.0128,2.30 +/- 0.02
CESNET-TLS-Year22,clean,0.0,none,Graph-CoLD,0.9958 +/- 0.0002,0.0110 +/- 0.0046,0.0001 +/- 0.0001,1.0000 +/- 0.0000,0.9858 +/- 0.0111,0.48 +/- 0.01
CESNET-TLS-Year22,clean,0.0,none,Noisy-Supervised,0.9955 +/- 0.0004,0.0070 +/- 0.0035,0.0001 +/- 0.0000,1.0000 +/- 0.0000,0.9732 +/- 0.0004,0.20 +/- 0.02
CESNET-TLS-Year22,clean,0.0,none,ablation_hard,0.9956 +/- 0.0005,0.0090 +/- 0.0030,0.0001 +/- 0.0000,1.0000 +/- 0.0000,0.9857 +/- 0.0111,0.00 +/- 0.00
CESNET-TLS-Year22,graph_consistency,0.1,0.0,Co-Teaching-lite,0.8655 +/- 0.0129,0.0791 +/- 0.0105,0.0012 +/- 0.0009,0.9578 +/- 0.0090,0.9956 +/- 0.0065,2.69 +/- 0.06
CESNET-TLS-Year22,graph_consistency,0.1,0.0,CoLD,0.9952 +/- 0.0003,0.0140 +/- 0.0046,0.0001 +/- 0.0000,0.9449 +/- 0.0014,0.9865 +/- 0.0115,0.44 +/- 0.02
CESNET-TLS-Year22,graph_consistency,0.1,0.0,Confident-Learning,0.9409 +/- 0.0198,0.0531 +/- 0.0114,0.0013 +/- 0.0005,0.9286 +/- 0.0128,0.9753 +/- 0.0009,26.90 +/- 6.05
CESNET-TLS-Year22,graph_consistency,0.1,0.0,Decoupling,0.8137 +/- 0.0347,0.1181 +/- 0.0734,0.0011 +/- 0.0017,0.1323 +/- 0.0092,0.9901 +/- 0.0124,2.36 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.1,0.0,Graph-CoLD,0.9956 +/- 0.0003,0.0100 +/- 0.0046,0.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9797 +/- 0.0116,0.45 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.1,0.0,Noisy-Supervised,0.9453 +/- 0.0012,0.0230 +/- 0.0063,0.0024 +/- 0.0005,1.0000 +/- 0.0000,0.9912 +/- 0.0115,0.29 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.1,0.0,ablation_hard,0.9952 +/- 0.0003,0.0140 +/- 0.0046,0.0001 +/- 0.0000,0.9449 +/- 0.0014,0.9865 +/- 0.0115,0.00 +/- 0.00
CESNET-TLS-Year22,graph_consistency,0.1,0.6,Co-Teaching-lite,0.8539 +/- 0.0075,0.0721 +/- 0.0150,0.0014 +/- 0.0007,0.9644 +/- 0.0077,0.9824 +/- 0.0090,2.71 +/- 0.13
CESNET-TLS-Year22,graph_consistency,0.1,0.6,CoLD,0.9956 +/- 0.0001,0.0110 +/- 0.0017,0.0000 +/- 0.0000,0.9454 +/- 0.0021,0.9731 +/- 0.0000,0.40 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.1,0.6,Confident-Learning,0.9223 +/- 0.0199,0.0270 +/- 0.0183,0.0007 +/- 0.0004,0.9133 +/- 0.0155,0.9751 +/- 0.0011,24.91 +/- 10.53
CESNET-TLS-Year22,graph_consistency,0.1,0.6,Decoupling,0.7981 +/- 0.0157,0.0691 +/- 0.0393,0.0027 +/- 0.0024,0.1485 +/- 0.0161,0.9926 +/- 0.0087,1.80 +/- 0.04
CESNET-TLS-Year22,graph_consistency,0.1,0.6,Graph-CoLD,0.9957 +/- 0.0003,0.0120 +/- 0.0060,0.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9737 +/- 0.0013,0.45 +/- 0.04
CESNET-TLS-Year22,graph_consistency,0.1,0.6,Noisy-Supervised,0.9450 +/- 0.0012,0.0420 +/- 0.0183,0.0023 +/- 0.0006,1.0000 +/- 0.0000,0.9857 +/- 0.0057,0.30 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.1,0.6,ablation_hard,0.9956 +/- 0.0001,0.0110 +/- 0.0017,0.0000 +/- 0.0000,0.9454 +/- 0.0021,0.9731 +/- 0.0000,0.00 +/- 0.00
CESNET-TLS-Year22,graph_consistency,0.2,0.0,Co-Teaching-lite,0.8423 +/- 0.0178,0.0811 +/- 0.0159,0.0017 +/- 0.0006,0.9428 +/- 0.0025,0.9846 +/- 0.0133,2.35 +/- 0.19
CESNET-TLS-Year22,graph_consistency,0.2,0.0,CoLD,0.9952 +/- 0.0007,0.0120 +/- 0.0030,0.0000 +/- 0.0000,0.9452 +/- 0.0020,0.9800 +/- 0.0121,0.38 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.2,0.0,Confident-Learning,0.8685 +/- 0.0189,0.0490 +/- 0.0092,0.0013 +/- 0.0006,0.8609 +/- 0.0134,0.9805 +/- 0.0081,17.09 +/- 9.63
CESNET-TLS-Year22,graph_consistency,0.2,0.0,Decoupling,0.7703 +/- 0.0366,0.0991 +/- 0.0217,0.0006 +/- 0.0008,0.2181 +/- 0.0299,0.9935 +/- 0.0036,1.83 +/- 0.04
CESNET-TLS-Year22,graph_consistency,0.2,0.0,Graph-CoLD,0.9958 +/- 0.0001,0.0090 +/- 0.0030,0.0001 +/- 0.0000,1.0000 +/- 0.0000,0.9832 +/- 0.0106,0.41 +/- 0.03
CESNET-TLS-Year22,graph_consistency,0.2,0.0,Noisy-Supervised,0.8805 +/- 0.0013,0.0741 +/- 0.0351,0.0047 +/- 0.0009,1.0000 +/- 0.0000,0.9994 +/- 0.0007,0.31 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.2,0.0,ablation_hard,0.9952 +/- 0.0007,0.0120 +/- 0.0030,0.0000 +/- 0.0000,0.9452 +/- 0.0020,0.9800 +/- 0.0121,0.00 +/- 0.00
CESNET-TLS-Year22,graph_consistency,0.2,0.6,Co-Teaching-lite,0.8381 +/- 0.0311,0.0701 +/- 0.0069,0.0022 +/- 0.0006,0.9447 +/- 0.0042,0.9845 +/- 0.0132,2.45 +/- 0.08
CESNET-TLS-Year22,graph_consistency,0.2,0.6,CoLD,0.9944 +/- 0.0010,0.0150 +/- 0.0060,0.0001 +/- 0.0000,0.9451 +/- 0.0025,0.9922 +/- 0.0026,0.41 +/- 0.02
CESNET-TLS-Year22,graph_consistency,0.2,0.6,Confident-Learning,0.8844 +/- 0.0032,0.0350 +/- 0.0121,0.0008 +/- 0.0007,0.8602 +/- 0.0323,0.9746 +/- 0.0009,26.00 +/- 8.95
CESNET-TLS-Year22,graph_consistency,0.2,0.6,Decoupling,0.7849 +/- 0.0348,0.1221 +/- 0.0693,0.0011 +/- 0.0010,0.2201 +/- 0.0522,0.9857 +/- 0.0086,2.37 +/- 0.06
CESNET-TLS-Year22,graph_consistency,0.2,0.6,Graph-CoLD,0.9958 +/- 0.0000,0.0110 +/- 0.0046,0.0001 +/- 0.0000,1.0000 +/- 0.0000,0.9841 +/- 0.0104,0.43 +/- 0.03
CESNET-TLS-Year22,graph_consistency,0.2,0.6,Noisy-Supervised,0.8838 +/- 0.0023,0.0581 +/- 0.0105,0.0051 +/- 0.0012,1.0000 +/- 0.0000,0.9998 +/- 0.0002,0.30 +/- 0.00
CESNET-TLS-Year22,graph_consistency,0.2,0.6,ablation_hard,0.9944 +/- 0.0010,0.0150 +/- 0.0060,0.0001 +/- 0.0000,0.9451 +/- 0.0025,0.9922 +/- 0.0026,0.00 +/- 0.00
CESNET-TLS-Year22,graph_consistency,0.4,0.0,Co-Teaching-lite,0.8330 +/- 0.0217,0.0430 +/- 0.0318,0.0059 +/- 0.0019,0.8848 +/- 0.0149,0.9899 +/- 0.0055,2.37 +/- 0.11
CESNET-TLS-Year22,graph_consistency,0.4,0.0,CoLD,0.9950 +/- 0.0001,0.0120 +/- 0.0030,0.0000 +/- 0.0000,0.9456 +/- 0.0018,0.9769 +/- 0.0067,0.31 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.4,0.0,Confident-Learning,0.8471 +/- 0.0156,0.0250 +/- 0.0176,0.0043 +/- 0.0027,0.8259 +/- 0.0364,0.9964 +/- 0.0019,24.74 +/- 7.68
CESNET-TLS-Year22,graph_consistency,0.4,0.0,Decoupling,0.7104 +/- 0.0509,0.3524 +/- 0.2837,0.0004 +/- 0.0006,0.3894 +/- 0.0298,0.9884 +/- 0.0109,1.89 +/- 0.06
CESNET-TLS-Year22,graph_consistency,0.4,0.0,Graph-CoLD,0.9950 +/- 0.0006,0.0130 +/- 0.0017,0.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9806 +/- 0.0130,0.35 +/- 0.02
CESNET-TLS-Year22,graph_consistency,0.4,0.0,Noisy-Supervised,0.7130 +/- 0.0014,0.1852 +/- 0.0243,0.0140 +/- 0.0009,1.0000 +/- 0.0000,0.9999 +/- 0.0001,0.34 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.4,0.0,ablation_hard,0.9950 +/- 0.0001,0.0120 +/- 0.0030,0.0000 +/- 0.0000,0.9456 +/- 0.0018,0.9769 +/- 0.0067,0.00 +/- 0.00
CESNET-TLS-Year22,graph_consistency,0.4,0.6,Co-Teaching-lite,0.8244 +/- 0.0015,0.0781 +/- 0.0156,0.0019 +/- 0.0007,0.8318 +/- 0.0123,0.9903 +/- 0.0123,2.50 +/- 0.25
CESNET-TLS-Year22,graph_consistency,0.4,0.6,CoLD,0.9947 +/- 0.0008,0.0150 +/- 0.0000,0.0001 +/- 0.0001,0.9447 +/- 0.0023,0.9785 +/- 0.0093,0.34 +/- 0.00
CESNET-TLS-Year22,graph_consistency,0.4,0.6,Confident-Learning,0.8353 +/- 0.0207,0.0350 +/- 0.0200,0.0021 +/- 0.0012,0.8106 +/- 0.0081,0.9887 +/- 0.0112,17.58 +/- 8.08
CESNET-TLS-Year22,graph_consistency,0.4,0.6,Decoupling,0.6984 +/- 0.0653,0.4985 +/- 0.3983,0.0011 +/- 0.0012,0.3410 +/- 0.0660,0.9939 +/- 0.0078,1.86 +/- 0.03
CESNET-TLS-Year22,graph_consistency,0.4,0.6,Graph-CoLD,0.9949 +/- 0.0007,0.0100 +/- 0.0046,0.0001 +/- 0.0001,1.0000 +/- 0.0000,0.9784 +/- 0.0093,0.38 +/- 0.03
CESNET-TLS-Year22,graph_consistency,0.4,0.6,Noisy-Supervised,0.7192 +/- 0.0028,0.1932 +/- 0.0097,0.0146 +/- 0.0019,1.0000 +/- 0.0000,0.9999 +/- 0.0000,0.35 +/- 0.03
CESNET-TLS-Year22,graph_consistency,0.4,0.6,ablation_hard,0.9947 +/- 0.0008,0.0150 +/- 0.0000,0.0001 +/- 0.0001,0.9447 +/- 0.0023,0.9785 +/- 0.0093,0.00 +/- 0.00
CESNET-TLS-Year22,graph_consistency,0.6,0.0,Co-Teaching-lite,0.7524 +/- 0.0256,0.0771 +/- 0.0315,0.0086 +/- 0.0032,0.7697 +/- 0.0261,0.9950 +/- 0.0063,2.29 +/- 0.11
CESNET-TLS-Year22,graph_consistency,0.6,0.0,CoLD,0.9943 +/- 0.0005,0.0170 +/- 0.0063,0.0001 +/- 0.0001,0.9457 +/- 0.0022,0.9812 +/- 0.0139,0.30 +/- 0.02
CESNET-TLS-Year22,graph_consistency,0.6,0.0,Confident-Learning,0.8281 +/- 0.0326,0.0450 +/- 0.0442,0.0070 +/- 0.0038,0.8146 +/- 0.0438,0.9960 +/- 0.0027,22.81 +/- 7.52
CESNET-TLS-Year22,graph_consistency,0.6,0.0,Decoupling,0.6526 +/- 0.0481,0.0611 +/- 0.0798,0.0068 +/- 0.0063,0.5356 +/- 0.0550,0.9993 +/- 0.0012,2.47 +/- 0.02
CESNET-TLS-Year22,graph_consistency,0.6,0.0,Graph-CoLD,0.9937 +/- 0.0011,0.0170 +/- 0.0092,0.0001 +/- 0.0000,1.0000 +/- 0.0000,0.9827 +/- 0.0128,0.34 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.6,0.0,Noisy-Supervised,0.4879 +/- 0.0041,0.3624 +/- 0.0483,0.0275 +/- 0.0024,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.34 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.6,0.0,ablation_hard,0.9943 +/- 0.0005,0.0170 +/- 0.0063,0.0001 +/- 0.0001,0.9457 +/- 0.0022,0.9812 +/- 0.0139,0.00 +/- 0.00
CESNET-TLS-Year22,graph_consistency,0.6,0.6,Co-Teaching-lite,0.7625 +/- 0.0285,0.0981 +/- 0.0315,0.0018 +/- 0.0018,0.8089 +/- 0.0235,0.9867 +/- 0.0088,2.25 +/- 0.22
CESNET-TLS-Year22,graph_consistency,0.6,0.6,CoLD,0.9939 +/- 0.0007,0.0210 +/- 0.0060,0.0001 +/- 0.0001,0.9447 +/- 0.0016,0.9872 +/- 0.0122,0.28 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.6,0.6,Confident-Learning,0.8289 +/- 0.0049,0.2793 +/- 0.1327,0.0008 +/- 0.0006,0.8043 +/- 0.0167,0.9886 +/- 0.0086,13.43 +/- 1.23
CESNET-TLS-Year22,graph_consistency,0.6,0.6,Decoupling,0.7111 +/- 0.0494,0.2322 +/- 0.2728,0.0032 +/- 0.0029,0.4713 +/- 0.0655,0.9921 +/- 0.0069,1.96 +/- 0.02
CESNET-TLS-Year22,graph_consistency,0.6,0.6,Graph-CoLD,0.9939 +/- 0.0003,0.0120 +/- 0.0060,0.0001 +/- 0.0001,1.0000 +/- 0.0000,0.9812 +/- 0.0140,0.33 +/- 0.02
CESNET-TLS-Year22,graph_consistency,0.6,0.6,Noisy-Supervised,0.4911 +/- 0.0054,0.4044 +/- 0.0508,0.0285 +/- 0.0013,1.0000 +/- 0.0000,0.9999 +/- 0.0001,0.36 +/- 0.01
CESNET-TLS-Year22,graph_consistency,0.6,0.6,ablation_hard,0.9939 +/- 0.0007,0.0210 +/- 0.0060,0.0001 +/- 0.0001,0.9447 +/- 0.0016,0.9872 +/- 0.0122,0.00 +/- 0.00
CESNET-TLS-Year22,symmetric,0.1,none,Co-Teaching-lite,0.8655 +/- 0.0129,0.0791 +/- 0.0105,0.0012 +/- 0.0009,0.9578 +/- 0.0090,0.9956 +/- 0.0065,2.61 +/- 0.09
CESNET-TLS-Year22,symmetric,0.1,none,CoLD,0.9952 +/- 0.0003,0.0140 +/- 0.0046,0.0001 +/- 0.0000,0.9449 +/- 0.0014,0.9865 +/- 0.0115,0.39 +/- 0.03
CESNET-TLS-Year22,symmetric,0.1,none,Confident-Learning,0.9409 +/- 0.0198,0.0531 +/- 0.0114,0.0013 +/- 0.0005,0.9286 +/- 0.0128,0.9753 +/- 0.0009,14.30 +/- 8.69
CESNET-TLS-Year22,symmetric,0.1,none,Decoupling,0.8137 +/- 0.0347,0.1181 +/- 0.0734,0.0011 +/- 0.0017,0.1323 +/- 0.0092,0.9901 +/- 0.0124,1.80 +/- 0.06
CESNET-TLS-Year22,symmetric,0.1,none,Graph-CoLD,0.9956 +/- 0.0003,0.0100 +/- 0.0046,0.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9797 +/- 0.0116,0.44 +/- 0.03
CESNET-TLS-Year22,symmetric,0.1,none,Noisy-Supervised,0.9453 +/- 0.0012,0.0230 +/- 0.0063,0.0024 +/- 0.0005,1.0000 +/- 0.0000,0.9912 +/- 0.0115,0.27 +/- 0.01
CESNET-TLS-Year22,symmetric,0.1,none,ablation_hard,0.9952 +/- 0.0003,0.0140 +/- 0.0046,0.0001 +/- 0.0000,0.9449 +/- 0.0014,0.9865 +/- 0.0115,0.00 +/- 0.00
CESNET-TLS-Year22,symmetric,0.2,none,Co-Teaching-lite,0.8423 +/- 0.0178,0.0811 +/- 0.0159,0.0017 +/- 0.0006,0.9428 +/- 0.0025,0.9846 +/- 0.0133,2.54 +/- 0.34
CESNET-TLS-Year22,symmetric,0.2,none,CoLD,0.9952 +/- 0.0007,0.0120 +/- 0.0030,0.0000 +/- 0.0000,0.9452 +/- 0.0020,0.9800 +/- 0.0121,0.38 +/- 0.01
CESNET-TLS-Year22,symmetric,0.2,none,Confident-Learning,0.8685 +/- 0.0189,0.0490 +/- 0.0092,0.0013 +/- 0.0006,0.8609 +/- 0.0134,0.9805 +/- 0.0081,32.90 +/- 4.38
CESNET-TLS-Year22,symmetric,0.2,none,Decoupling,0.7703 +/- 0.0366,0.0991 +/- 0.0217,0.0006 +/- 0.0008,0.2181 +/- 0.0299,0.9935 +/- 0.0036,1.82 +/- 0.08
CESNET-TLS-Year22,symmetric,0.2,none,Graph-CoLD,0.9958 +/- 0.0001,0.0090 +/- 0.0030,0.0001 +/- 0.0000,1.0000 +/- 0.0000,0.9832 +/- 0.0106,0.39 +/- 0.03
CESNET-TLS-Year22,symmetric,0.2,none,Noisy-Supervised,0.8805 +/- 0.0013,0.0741 +/- 0.0351,0.0047 +/- 0.0009,1.0000 +/- 0.0000,0.9994 +/- 0.0007,0.29 +/- 0.00
CESNET-TLS-Year22,symmetric,0.2,none,ablation_hard,0.9952 +/- 0.0007,0.0120 +/- 0.0030,0.0000 +/- 0.0000,0.9452 +/- 0.0020,0.9800 +/- 0.0121,0.00 +/- 0.00
CESNET-TLS-Year22,symmetric,0.4,none,Co-Teaching-lite,0.8330 +/- 0.0217,0.0430 +/- 0.0318,0.0059 +/- 0.0019,0.8848 +/- 0.0149,0.9899 +/- 0.0055,2.37 +/- 0.25
CESNET-TLS-Year22,symmetric,0.4,none,CoLD,0.9950 +/- 0.0001,0.0120 +/- 0.0030,0.0000 +/- 0.0000,0.9456 +/- 0.0018,0.9769 +/- 0.0067,0.30 +/- 0.01
CESNET-TLS-Year22,symmetric,0.4,none,Confident-Learning,0.8471 +/- 0.0156,0.0250 +/- 0.0176,0.0043 +/- 0.0027,0.8259 +/- 0.0364,0.9964 +/- 0.0019,13.67 +/- 4.29
CESNET-TLS-Year22,symmetric,0.4,none,Decoupling,0.7104 +/- 0.0509,0.3524 +/- 0.2837,0.0004 +/- 0.0006,0.3894 +/- 0.0298,0.9884 +/- 0.0109,2.53 +/- 0.13
CESNET-TLS-Year22,symmetric,0.4,none,Graph-CoLD,0.9950 +/- 0.0006,0.0130 +/- 0.0017,0.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9806 +/- 0.0130,0.38 +/- 0.01
CESNET-TLS-Year22,symmetric,0.4,none,Noisy-Supervised,0.7130 +/- 0.0014,0.1852 +/- 0.0243,0.0140 +/- 0.0009,1.0000 +/- 0.0000,0.9999 +/- 0.0001,0.34 +/- 0.03
CESNET-TLS-Year22,symmetric,0.4,none,ablation_hard,0.9950 +/- 0.0001,0.0120 +/- 0.0030,0.0000 +/- 0.0000,0.9456 +/- 0.0018,0.9769 +/- 0.0067,0.00 +/- 0.00
CESNET-TLS-Year22,symmetric,0.6,none,Co-Teaching-lite,0.7524 +/- 0.0256,0.0771 +/- 0.0315,0.0086 +/- 0.0032,0.7697 +/- 0.0261,0.9950 +/- 0.0063,2.18 +/- 0.16
CESNET-TLS-Year22,symmetric,0.6,none,CoLD,0.9943 +/- 0.0005,0.0170 +/- 0.0063,0.0001 +/- 0.0001,0.9457 +/- 0.0022,0.9812 +/- 0.0139,0.27 +/- 0.01
CESNET-TLS-Year22,symmetric,0.6,none,Confident-Learning,0.8281 +/- 0.0326,0.0450 +/- 0.0442,0.0070 +/- 0.0038,0.8146 +/- 0.0438,0.9960 +/- 0.0027,14.95 +/- 4.82
CESNET-TLS-Year22,symmetric,0.6,none,Decoupling,0.6526 +/- 0.0481,0.0611 +/- 0.0798,0.0068 +/- 0.0063,0.5356 +/- 0.0550,0.9993 +/- 0.0012,1.90 +/- 0.04
CESNET-TLS-Year22,symmetric,0.6,none,Graph-CoLD,0.9937 +/- 0.0011,0.0170 +/- 0.0092,0.0001 +/- 0.0000,1.0000 +/- 0.0000,0.9827 +/- 0.0128,0.34 +/- 0.01
CESNET-TLS-Year22,symmetric,0.6,none,Noisy-Supervised,0.4879 +/- 0.0041,0.3624 +/- 0.0483,0.0275 +/- 0.0024,1.0000 +/- 0.0000,1.0000 +/- 0.0000,0.36 +/- 0.01
CESNET-TLS-Year22,symmetric,0.6,none,ablation_hard,0.9943 +/- 0.0005,0.0170 +/- 0.0063,0.0001 +/- 0.0001,0.9457 +/- 0.0022,0.9812 +/- 0.0139,0.00 +/- 0.00
CICIDS-2017,asymmetric,0.1,none,Co-Teaching-lite,0.6808 +/- 0.0117,0.1672 +/- 0.0143,0.0304 +/- 0.0087,0.8174 +/- 0.0245,0.9982 +/- 0.0007,20.14 +/- 2.63
CICIDS-2017,asymmetric,0.1,none,CoLD,0.9635 +/- 0.0042,0.0019 +/- 0.0003,0.0046 +/- 0.0004,0.8388 +/- 0.0022,0.9989 +/- 0.0008,10.49 +/- 1.08
CICIDS-2017,asymmetric,0.1,none,Confident-Learning,0.9171 +/- 0.0076,0.0056 +/- 0.0007,0.0271 +/- 0.0024,0.9177 +/- 0.0173,0.9995 +/- 0.0007,27.72 +/- 3.61
CICIDS-2017,asymmetric,0.1,none,Decoupling,0.5168 +/- 0.0747,0.2326 +/- 0.0374,0.0261 +/- 0.0151,0.1358 +/- 0.0517,0.9953 +/- 0.0041,14.29 +/- 0.30
CICIDS-2017,asymmetric,0.1,none,Graph-CoLD,0.9906 +/- 0.0006,0.0019 +/- 0.0003,0.0008 +/- 0.0000,1.0000 +/- 0.0000,0.9980 +/- 0.0017,10.64 +/- 0.52
CICIDS-2017,asymmetric,0.1,none,Noisy-Supervised,0.9387 +/- 0.0021,0.0017 +/- 0.0004,0.0770 +/- 0.0002,1.0000 +/- 0.0000,0.9996 +/- 0.0001,4.36 +/- 0.28
CICIDS-2017,asymmetric,0.1,none,ablation_hard,0.9635 +/- 0.0042,0.0019 +/- 0.0003,0.0046 +/- 0.0004,0.8388 +/- 0.0022,0.9989 +/- 0.0008,0.00 +/- 0.00
CICIDS-2017,asymmetric,0.2,none,Co-Teaching-lite,0.6794 +/- 0.0216,0.1662 +/- 0.0140,0.0306 +/- 0.0138,0.8052 +/- 0.0236,0.9978 +/- 0.0017,18.52 +/- 2.25
CICIDS-2017,asymmetric,0.2,none,CoLD,0.9632 +/- 0.0017,0.0018 +/- 0.0003,0.0048 +/- 0.0001,0.8396 +/- 0.0008,0.9989 +/- 0.0008,8.65 +/- 0.98
CICIDS-2017,asymmetric,0.2,none,Confident-Learning,0.8859 +/- 0.0348,0.0041 +/- 0.0038,0.0628 +/- 0.0019,0.8904 +/- 0.0169,0.9999 +/- 0.0001,26.89 +/- 3.42
CICIDS-2017,asymmetric,0.2,none,Decoupling,0.5591 +/- 0.0261,0.2372 +/- 0.0135,0.0379 +/- 0.0206,0.1645 +/- 0.0829,0.9962 +/- 0.0061,14.49 +/- 0.55
CICIDS-2017,asymmetric,0.2,none,Graph-CoLD,0.9894 +/- 0.0003,0.0018 +/- 0.0002,0.0010 +/- 0.0000,1.0000 +/- 0.0000,0.9980 +/- 0.0017,9.67 +/- 0.74
CICIDS-2017,asymmetric,0.2,none,Noisy-Supervised,0.8494 +/- 0.0032,0.0014 +/- 0.0003,0.2084 +/- 0.0014,1.0000 +/- 0.0000,0.9999 +/- 0.0001,4.56 +/- 0.35
CICIDS-2017,asymmetric,0.2,none,ablation_hard,0.9632 +/- 0.0017,0.0018 +/- 0.0003,0.0048 +/- 0.0001,0.8396 +/- 0.0008,0.9989 +/- 0.0008,0.00 +/- 0.00
CICIDS-2017,asymmetric,0.4,none,Co-Teaching-lite,0.6207 +/- 0.0535,0.1676 +/- 0.0174,0.1933 +/- 0.0991,0.7445 +/- 0.1028,0.9992 +/- 0.0012,16.86 +/- 1.98
CICIDS-2017,asymmetric,0.4,none,CoLD,0.9505 +/- 0.0065,0.0016 +/- 0.0003,0.0064 +/- 0.0004,0.8223 +/- 0.0018,0.9994 +/- 0.0008,5.98 +/- 0.15
CICIDS-2017,asymmetric,0.4,none,Confident-Learning,0.8445 +/- 0.0465,0.0097 +/- 0.0046,0.1412 +/- 0.0300,0.8558 +/- 0.0632,1.0000 +/- 0.0000,28.13 +/- 2.32
CICIDS-2017,asymmetric,0.4,none,Decoupling,0.5822 +/- 0.0135,0.2541 +/- 0.0117,0.0573 +/- 0.0253,0.1859 +/- 0.0632,0.9997 +/- 0.0002,14.62 +/- 0.56
CICIDS-2017,asymmetric,0.4,none,Graph-CoLD,0.9859 +/- 0.0005,0.0016 +/- 0.0003,0.0017 +/- 0.0001,1.0000 +/- 0.0000,0.9980 +/- 0.0017,6.84 +/- 0.25
CICIDS-2017,asymmetric,0.4,none,Noisy-Supervised,0.5864 +/- 0.0034,0.0010 +/- 0.0002,0.5351 +/- 0.0005,1.0000 +/- 0.0000,1.0000 +/- 0.0000,4.72 +/- 0.27
CICIDS-2017,asymmetric,0.4,none,ablation_hard,0.9505 +/- 0.0065,0.0016 +/- 0.0003,0.0064 +/- 0.0004,0.8223 +/- 0.0018,0.9994 +/- 0.0008,0.00 +/- 0.00
CICIDS-2017,asymmetric,0.6,none,Co-Teaching-lite,0.4924 +/- 0.0168,0.1223 +/- 0.0138,0.4027 +/- 0.2252,0.2794 +/- 0.2567,0.9999 +/- 0.0001,15.16 +/- 1.62
CICIDS-2017,asymmetric,0.6,none,CoLD,0.7364 +/- 0.0036,0.0010 +/- 0.0001,0.0159 +/- 0.0007,0.7108 +/- 0.0058,0.9999 +/- 0.0001,3.42 +/- 0.31
CICIDS-2017,asymmetric,0.6,none,Confident-Learning,0.6651 +/- 0.0960,0.0021 +/- 0.0004,0.6061 +/- 0.1093,0.7612 +/- 0.0506,1.0000 +/- 0.0000,27.40 +/- 3.42
CICIDS-2017,asymmetric,0.6,none,Decoupling,0.5098 +/- 0.0714,0.2454 +/- 0.0584,0.1833 +/- 0.1519,0.3827 +/- 0.0781,0.9978 +/- 0.0028,16.12 +/- 0.94
CICIDS-2017,asymmetric,0.6,none,Graph-CoLD,0.9710 +/- 0.0015,0.0012 +/- 0.0001,0.0045 +/- 0.0003,1.0000 +/- 0.0000,0.9996 +/- 0.0003,4.80 +/- 0.25
CICIDS-2017,asymmetric,0.6,none,Noisy-Supervised,0.2953 +/- 0.0023,0.0005 +/- 0.0000,0.7883 +/- 0.0013,1.0000 +/- 0.0000,1.0000 +/- 0.0000,4.41 +/- 0.27
CICIDS-2017,asymmetric,0.6,none,ablation_hard,0.7364 +/- 0.0036,0.0010 +/- 0.0001,0.0159 +/- 0.0007,0.7108 +/- 0.0058,0.9999 +/- 0.0001,0.00 +/- 0.00
CICIDS-2017,clean,0.0,none,Co-Teaching-lite,0.7229 +/- 0.0035,0.2588 +/- 0.0294,0.0031 +/- 0.0008,1.0000 +/- 0.0000,0.9943 +/- 0.0058,20.22 +/- 2.66
CICIDS-2017,clean,0.0,none,CoLD,0.9910 +/- 0.0006,0.0020 +/- 0.0003,0.0007 +/- 0.0000,1.0000 +/- 0.0000,0.9979 +/- 0.0018,11.99 +/- 1.09
