Dataset,Noise type,Noise rate,Graph beta,Method,Macro-F1 mean +/- std,FPR mean +/- std,FNR mean +/- std,ERR mean +/- std,Compression ratio mean +/- std,Runtime mean +/- std (s)
CICIDS-2017,graph_consistency,0.2,0.6,CoLD,0.9638 +/- 0.0033,0.0021 +/- 0.0003,0.0042 +/- 0.0006,0.8408 +/- 0.0015,0.9991 +/- 0.0006,9.16 +/- 0.49
CICIDS-2017,graph_consistency,0.2,0.6,Confident-Learning,0.6346 +/- 0.0472,0.1504 +/- 0.0055,0.0078 +/- 0.0010,0.7691 +/- 0.0546,0.9993 +/- 0.0011,26.46 +/- 4.30
CICIDS-2017,graph_consistency,0.2,0.6,Decoupling,0.5676 +/- 0.0373,0.3520 +/- 0.0595,0.0035 +/- 0.0044,0.1681 +/- 0.0543,0.9890 +/- 0.0088,14.46 +/- 0.51
CICIDS-2017,graph_consistency,0.2,0.6,Graph-CoLD,0.9900 +/- 0.0008,0.0021 +/- 0.0003,0.0008 +/- 0.0001,1.0000 +/- 0.0000,0.9972 +/- 0.0035,7.72 +/- 0.50
CICIDS-2017,graph_consistency,0.2,0.6,Noisy-Supervised,0.6998 +/- 0.0016,0.0917 +/- 0.0006,0.0333 +/- 0.0010,1.0000 +/- 0.0000,0.9999 +/- 0.0001,5.02 +/- 0.41
CICIDS-2017,graph_consistency,0.2,0.6,ablation_hard,0.9638 +/- 0.0033,0.0021 +/- 0.0003,0.0042 +/- 0.0006,0.8408 +/- 0.0015,0.9991 +/- 0.0006,0.00 +/- 0.00
CICIDS-2017,graph_consistency,0.4,0.0,Co-Teaching-lite,0.6345 +/- 0.0107,0.2839 +/- 0.0079,0.0022 +/- 0.0005,0.7165 +/- 0.0765,0.9827 +/- 0.0115,18.78 +/- 1.89
CICIDS-2017,graph_consistency,0.4,0.0,CoLD,0.9646 +/- 0.0036,0.0022 +/- 0.0003,0.0041 +/- 0.0007,0.8425 +/- 0.0046,0.9988 +/- 0.0002,6.10 +/- 0.09
CICIDS-2017,graph_consistency,0.4,0.0,Confident-Learning,0.5485 +/- 0.0415,0.2429 +/- 0.0661,0.0025 +/- 0.0003,0.6901 +/- 0.0779,0.9988 +/- 0.0011,27.51 +/- 6.31
CICIDS-2017,graph_consistency,0.4,0.0,Decoupling,0.5468 +/- 0.0111,0.1958 +/- 0.0074,0.0116 +/- 0.0049,0.1653 +/- 0.0244,0.9968 +/- 0.0008,13.93 +/- 0.06
CICIDS-2017,graph_consistency,0.4,0.0,Graph-CoLD,0.9886 +/- 0.0009,0.0022 +/- 0.0004,0.0010 +/- 0.0001,1.0000 +/- 0.0000,0.9953 +/- 0.0019,6.67 +/- 0.30
CICIDS-2017,graph_consistency,0.4,0.0,Noisy-Supervised,0.4575 +/- 0.0009,0.2340 +/- 0.0044,0.0227 +/- 0.0003,1.0000 +/- 0.0000,0.9999 +/- 0.0000,5.09 +/- 0.15
CICIDS-2017,graph_consistency,0.4,0.0,ablation_hard,0.9646 +/- 0.0036,0.0022 +/- 0.0003,0.0041 +/- 0.0007,0.8425 +/- 0.0046,0.9988 +/- 0.0002,0.00 +/- 0.00
CICIDS-2017,graph_consistency,0.4,0.6,Co-Teaching-lite,0.5692 +/- 0.0317,0.3498 +/- 0.0311,0.0018 +/- 0.0005,0.7198 +/- 0.0432,0.9845 +/- 0.0134,18.15 +/- 1.59
CICIDS-2017,graph_consistency,0.4,0.6,CoLD,0.9643 +/- 0.0015,0.0022 +/- 0.0002,0.0038 +/- 0.0002,0.8397 +/- 0.0010,0.9992 +/- 0.0003,6.22 +/- 0.13
CICIDS-2017,graph_consistency,0.4,0.6,Confident-Learning,0.5636 +/- 0.0044,0.2183 +/- 0.0745,0.0114 +/- 0.0051,0.6853 +/- 0.0304,0.9990 +/- 0.0008,25.89 +/- 3.92
