dataset,reported_as,audit_scope,leakage_removed,exact_duplicate_train_rows_removed,near_duplicate_graph_edges_removed,noise_type,noise_rate,graph_beta,seed,method,macro_f1,fpr,fnr,err,err_tail,err_final,mean_weight,retained_fraction,retained_fraction_clean_informative,runtime_sec
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,clean,0.0,none,0,Graph-CoLD,0.8910632636026474,0.010642826734780758,0.013095027428773668,1.0,1.0,1.0,0.9780784390653453,0.9876062322946175,0.9876062322946175,0.07254929997725412
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,clean,0.0,none,0,CoLD,0.7134017464832314,0.008514261387824606,0.02406653689612458,1.0,1.0,1.0,0.9776912181303116,0.9776912181303116,0.9776912181303116,0.06294110004091635
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,clean,0.0,none,0,ablation_hard,0.9109083891637191,0.007237122179650915,0.010440629976995222,1.0,1.0,1.0,0.9876062322946175,0.9876062322946175,0.9876062322946175,0.061846000025980175
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.1,none,0,Graph-CoLD,0.8715778541189738,0.011494252873563218,0.013271987258892231,0.9356304165538318,0.8785199817652535,0.9070751991595427,0.887496382729475,0.8955382436260623,0.9779874213836478,0.07303670002147555
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.1,none,0,CoLD,0.7855051424450814,0.008939974457215836,0.02194301893470182,0.8162924699117906,0.6489772371872514,0.7326348535495211,0.8863314447592068,0.8863314447592068,0.9481132075471698,0.06823040003655478
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.1,none,0,ablation_hard,0.8706501721489751,0.01319710515112814,0.013625906919129358,0.9356304165538318,0.8785199817652535,0.9070751991595427,0.8955382436260623,0.8955382436260623,0.9779874213836478,0.06506599998101592
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.2,none,0,Graph-CoLD,0.8157248959926043,0.024691358024691357,0.013979826579366484,0.9455841389761035,0.8980354787594498,0.9218098088677766,0.8060880872678119,0.8126770538243626,0.9769911504424779,0.06486250000307336
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.2,none,0,CoLD,0.6997341891667465,0.023414218816517667,0.024420456556361707,0.8198071381311967,0.6311023020204086,0.7254547200758026,0.8045325779036827,0.8045325779036827,0.9398230088495575,0.06757469999138266
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.2,none,0,ablation_hard,0.81628251624719,0.02596849723286505,0.013802866749247921,0.9455841389761035,0.8980354787594498,0.9218098088677766,0.8126770538243626,0.8126770538243626,0.9769911504424779,0.08063029998447746
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.4,none,0,Graph-CoLD,0.6455016942541065,0.09323116219667944,0.02123517961422757,0.9502471858658428,0.8791262989051922,0.9146867423855175,0.6835330683689739,0.6887393767705382,0.9740566037735849,0.0679793999879621
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.4,none,0,CoLD,0.6001179238248044,0.09067688378033206,0.023181737745531766,0.8231988504934206,0.6073365160889769,0.7152676832911987,0.681657223796034,0.681657223796034,0.9339622641509434,0.06621530000120401
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.4,none,0,ablation_hard,0.6413219799739411,0.0940825883354619,0.021589099274464698,0.9502471858658428,0.8791262989051922,0.9146867423855175,0.6887393767705382,0.6887393767705382,0.9740566037735849,0.06508729996858165
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.6,none,0,Graph-CoLD,0.37254516814079447,0.22307364836100468,0.07803928508228632,0.8760651356573407,0.7274797650517447,0.8017724503545427,0.5934893203288581,0.5980878186968839,0.9081272084805654,0.06732610001927242
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.6,none,0,CoLD,0.35370658476570094,0.22903363133248192,0.07857016457264202,0.7845347831938867,0.3783140602044111,0.5814244216991489,0.5920679886685553,0.5920679886685553,0.872791519434629,0.07723520003492013
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,symmetric,0.6,none,0,ablation_hard,0.37798469335684676,0.21881651766709237,0.07273049017872943,0.8760651356573407,0.7274797650517447,0.8017724503545427,0.5980878186968839,0.5980878186968839,0.9081272084805654,0.08174440002767369
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,asymmetric,0.1,none,0,Graph-CoLD,0.7884862455985909,0.009791400595998296,0.1054680587506636,0.8987305285997867,0.8044487942827979,0.8515896614412923,0.9494542391834933,0.9585694050991501,0.9779874213836478,0.08209129999158904
