comparison,seed_level_mean_diff,scenario_mean_diff,scenario_ci95_low,scenario_ci95_high,effective_n,scenario_p_value,holm_p_value,holm_significant_0_05
Graph-CoLD_vs_Co-Teaching,0.26848801850783116,0.26848801850783116,0.22836005241871565,0.3092234233960545,34,1.0167078517205504e-14,8.133662813764403e-14,True
Graph-CoLD_vs_CoLD,0.14748943631910585,0.14748943631910588,0.07608944627795731,0.22298107710452278,18,0.0005327159332021416,0.001065431866404283,True
Graph-CoLD_vs_Confident-Learning,0.22354953239876246,0.2235495323987625,0.16893245743565416,0.2825450840914548,34,2.504057090107599e-09,7.512171270322798e-09,True
Graph-CoLD_vs_Decoupling,0.34695103337177025,0.3469510333717703,0.30844758348412804,0.3860634000311222,34,2.1141692832869984e-18,1.9027523549582985e-17,True
Graph-CoLD_vs_FINE,0.3722718904140923,0.3722718904140924,0.2976449624734006,0.4462980639758554,34,1.3730916046032929e-11,7.22245776007129e-11,True
Graph-CoLD_vs_MCRe,0.31047626312317117,0.3104762631231712,0.25049276682533095,0.3736371030122817,34,1.2037429600118817e-11,7.22245776007129e-11,True
Graph-CoLD_vs_MORSE,0.3194956583377419,0.31949565833774196,0.26076911704359856,0.3815257509578047,34,4.775337488347729e-12,3.3427362418434105e-11,True
Graph-CoLD_vs_Noisy-Supervised,0.30781666442762434,0.30781666442762434,0.23557239010990774,0.3823089019274291,34,8.578641190290044e-10,3.4314564761160178e-09,True
Graph-CoLD_vs_ablation_hard,0.01838263134899054,0.01838263134899055,0.008527662236286938,0.033702787160049805,34,0.005729104778986933,0.005729104778986933,True
