protocol_id,method,macro_f1_mean,macro_f1_std,fpr_mean,fpr_std,fnr_mean,fnr_std,err_final_mean,err_final_std,compression_ratio_mean,compression_ratio_std,runtime_sec_mean,runtime_sec_std,memory_mb_mean,memory_mb_std,scenario_count
p2_canonical_scenario_mean_v1,Co-Teaching,0.7045632256822567,0.20188503220334797,0.06409663887528909,0.07677255408454987,0.04412534165203152,0.09967736258965684,0.5997363804149554,0.24777451752325405,0.9255801365597919,0.1097180958500067,6.071137085620898,4.856205779656683,349.9275146933163,261.5418355762178,51
p2_canonical_scenario_mean_v1,CoLD,0.762341573828578,0.1738276244118039,0.004587150316442808,0.005938475297980076,0.005150447197062612,0.009062980270185705,0.7636088684686195,0.12055953247831337,0.9149033739377013,0.12020962841290665,3.0663950196109724,3.15002091057915,144.68059266158957,125.43598322749706,51
p2_canonical_scenario_mean_v1,Confident-Learning,0.6726653775516728,0.1968764193561616,0.06774891472701394,0.09396751006915438,0.04393504481594439,0.1275030459739497,0.7065232831651137,0.20587506630638863,0.9201987435168666,0.11784454458146713,21.288390699348884,4.024739058800891,167.93726179334854,143.15388080092393,51
p2_canonical_scenario_mean_v1,Decoupling,0.5632411415724035,0.15330169227568965,0.2054022268580764,0.14969959970005733,0.029236911250605423,0.06329035168707879,0.37569264481959647,0.20921221405913157,0.9444622291500442,0.0915004269441534,8.335853115685536,5.84288526828003,233.6886148577422,167.2733876104543,51
p2_canonical_scenario_mean_v1,FINE,0.563424214377648,0.21882965822452524,0.16784344769587015,0.18101244476946413,0.12073232741443651,0.16169954245825194,0.6796875851313732,0.23784482836974963,0.9738922978916488,0.057879464853234606,2.4031008993468728,2.190852677670487,273.0353618384966,207.76182681745203,51
p2_canonical_scenario_mean_v1,Graph-CoLD,0.8546474750918764,0.1954653233124737,0.0044726879411642485,0.005173541535830528,0.00042204950402498025,0.0007384060190494505,1.0,0.0,0.9070173921076584,0.1294146188638009,3.289883591505939,3.251045556649727,111.66542743234073,102.93912800110095,51
p2_canonical_scenario_mean_v1,MCRe,0.6202427965900356,0.24018837145383468,0.15141218723565908,0.18387648019214692,0.08597243757468885,0.15045857612825303,0.755937964891572,0.25193897393544157,0.9315451162186537,0.10414726674764505,1.9994815732044278,1.9043768218305674,407.758233238669,303.31955542231213,51
p2_canonical_scenario_mean_v1,MORSE,0.6196599750352,0.24209039363220544,0.16495051152222887,0.1985912044360311,0.08303704633297583,0.15087115315018074,0.9380886944481069,0.08122955040082566,0.929597529050704,0.10709077447960329,6.53359833399018,5.656174762004298,469.9835978364633,343.909369691973,51
p2_canonical_scenario_mean_v1,Noisy-Supervised,0.6131492573159789,0.21304663052206932,0.10859617539538576,0.1392658739650185,0.09509120814181495,0.18721222233678508,1.0,0.0,0.97284969878464,0.05987388325133158,2.203843698694007,2.129084990815288,107.25206079670028,100.5666007098928,51
p2_canonical_scenario_mean_v1,ablation_hard,0.8422008500032475,0.19040768290333623,0.004847947055606716,0.005781311502488109,0.0016660383468624109,0.002922839318802776,0.8879103430314939,0.05802220330305237,0.9164257108981786,0.1154800886690306,3.457032696728966,3.438460488159192,109.8466736413295,100.50411861887329,51
