dataset,noise_type,noise_rate,graph_beta,graphcold_macro_f1,cold_macro_f1,hard_macro_f1,delta_macro_f1_vs_cold,delta_macro_f1_vs_hard,graphcold_err_final,hard_err_final,delta_err_final_vs_hard,graphcold_tail_recall,hard_tail_recall,delta_tail_recall_vs_hard,graphcold_fnr,hard_fnr,delta_fnr_vs_hard,p_macro_f1_graphcold_vs_cold_dataset,bootstrap_ci95_delta_vs_cold_low,bootstrap_ci95_delta_vs_cold_high,holm_p_macro_f1_vs_cold
CESNET-TLS-Year22,asymmetric,0.1,none,0.9303765768566029,0.9287434756352212,0.9289016257184489,0.0016331012213817164,0.0014749511381539904,0.960781666702546,0.960781666702546,0.0,0.9163987138263665,0.9110396570203644,0.005359056806002127,0.04436450839328534,0.0454779033915724,-0.0011133949982870608,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,asymmetric,0.2,none,0.8719086082897891,0.8691651155403579,0.8722279104291332,0.002743492749431198,-0.0003193021393440576,0.9583492246457949,0.9583492246457949,0.0,0.840300107181136,0.8408360128617364,-0.000535905680600357,0.13677629325111337,0.1348920863309352,0.001884206920178183,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,asymmetric,0.4,none,0.6700288168505603,0.6382210394606617,0.6651300438377775,0.031807777389898595,0.004898773012782742,0.9423616783333343,0.9423616783333343,0.0,0.5369774919614148,0.5192926045016076,0.01768488745980712,0.42591640972935935,0.43002740664611167,-0.004110996916752319,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,asymmetric,0.6,none,0.36089507501498735,0.35885175120347484,0.37225084377621115,0.0020433238115125096,-0.011355768761223795,0.8485802194405293,0.8485802194405293,0.0,0.23713826366559485,0.25241157556270094,-0.015273311897106095,0.750171291538198,0.7433196300102775,0.006851661527920494,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,clean,0.0,none,0.9682614706241731,0.9663207842392847,0.9695588481262529,0.0019406863848884237,-0.0012973775020798106,1.0,1.0,0.0,0.9694533762057879,0.9697213290460879,-0.000267952840300012,0.0011990407673860334,0.000685166152792,0.0005138746145940333,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,graph_consistency,0.1,0.0,0.9675510588834232,0.9561389468099389,0.9587928188059881,0.011412112073484248,0.008758240077435087,0.9626060137099643,0.9626060137099643,0.0,0.9686495176848875,0.9560557341907825,0.012593783494105004,0.0011990407673860334,0.0019698526892771,-0.0007708119218910667,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,graph_consistency,0.1,0.6,0.9221202688839681,0.9197158607986756,0.9209138749108213,0.00240440808529252,0.0012063939731468132,0.9817385440620571,0.9817385440620571,0.0,0.9078242229367631,0.9059485530546624,0.00187566988210075,0.002826310380267167,0.0027406646111681667,8.564576909900028e-05,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,graph_consistency,0.2,0.0,0.9526847847135698,0.9544152700726096,0.9570812590839713,-0.0017304853590398572,-0.004396474370401582,0.9555831492357565,0.9555831492357565,0.0,0.9458735262593784,0.9579314040728831,-0.012057877813504758,0.0011133949982870333,0.000770811921891,0.0003425830763960333,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,graph_consistency,0.2,0.6,0.8678114116945714,0.8664621347288138,0.8641699121762655,0.0013492769657575954,0.003641499518305946,0.9874850417746966,0.9874850417746966,0.0,0.847534833869239,0.844855305466238,0.002679528403001008,0.0045392257622473,0.005053100376841367,-0.0005138746145940667,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,graph_consistency,0.4,0.0,0.8966360748574688,0.8990260197124611,0.8946429205568984,-0.002389944854992332,0.0019931543005703434,0.9320903223038638,0.9320903223038638,0.0,0.895230439442658,0.8909431939978564,0.004287245444801635,0.0013703323055840333,0.000942103460089,0.00042822884549503326,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
