dataset,paired_rows,graphcold_macro_f1_mean,hard_macro_f1_mean,delta_macro_f1_vs_hard,p_macro_f1_vs_hard,graphcold_err_final_mean,hard_err_final_mean,delta_err_final_vs_hard,p_err_final_vs_hard,graphcold_err_tail_mean,hard_err_tail_mean,delta_err_tail_vs_hard,p_err_tail_vs_hard,graphcold_tail_recall_mean,hard_tail_recall_mean,delta_tail_recall_vs_hard,p_tail_recall_vs_hard,graphcold_fnr_mean,hard_fnr_mean,delta_fnr_vs_hard,p_fnr_vs_hard,err_not_trivially_one
CESNET-TLS-Year22,48,0.8273995517033302,0.8268721682311853,0.0005273834721449348,0.6797245804815917,0.942987975578129,0.942987975578129,0.0,1.0,0.9464902477326259,0.9464902477326259,0.0,1.0,0.802518756698821,0.802100080385852,0.0004186763129689341,0.8400397816331848,0.08873972250770808,0.08838643371017467,0.000353288797533405,0.5331997888399688,True
CICIDS-2017,48,0.5213701677768608,0.5198223616978055,0.0015478060790554008,0.4661263370360102,0.8238656960369463,0.8238656960369463,0.0,1.0,0.7676254017294822,0.7676254017294822,0.0,1.0,0.37108085808580854,0.3657178217821782,0.005363036303630363,0.16943767749363714,0.2408300873465533,0.24386951133144472,-0.0030394239848914105,0.06577418783287138,True
UNSW-NB15,48,0.4055804055393801,0.4085040596544694,-0.0029236541150893833,0.04698705807191392,0.5618765099320816,0.5618765099320816,0.0,1.0,0.5323348726027359,0.5323348726027359,0.0,1.0,0.35004038129038123,0.3475821939363606,0.0024581873540206888,0.45660157589624784,0.13527387735775334,0.13474987712226594,0.0005240002354874168,0.7229115622911089,True
pooled,48,0.5847833750065237,0.5850661965278201,-0.0002828215212963634,0.7646365553698405,0.7762433938490524,0.7762433938490524,0.0,1.0,0.7488168406882814,0.7488168406882814,0.0,1.0,0.5078799986916703,0.5051333653681302,0.002746633323539994,0.1492113057357831,0.15494789573733825,0.15566860738796176,-0.0007207116506235327,0.3724372676054423,True
