method,topk_precision_mean,topk_precision_std,topk_recall_mean,topk_recall_std,precision_at_budget_mean,precision_at_budget_std,compression_at_recall_90_mean,compression_at_recall_90_std,compression_at_recall_95_mean,compression_at_recall_95_std
CoLD,0.9991666666666666,0.002823298512866365,0.010635961870812926,0.0022751059846155765,0.9997368135631771,0.00046613365242720566,0.6629143848864062,0.21742353912982296,0.6997575723882422,0.22952637939297083
Confident-Learning,0.9641666666666667,0.08203481056799934,0.010185012574729691,0.0020460038621829923,0.9656774568498849,0.07571730124077154,0.7268390333213143,0.17848274806357886,0.7943274329039465,0.18044942227412583
Graph-CoLD,0.9991666666666666,0.002823298512866365,0.010635961870812926,0.0022751059846155765,0.9997027443345045,0.00047584121255763595,0.662930702340626,0.21743471627292268,0.699773889842462,0.22953756072997186
ablation_hard,0.9991666666666666,0.002823298512866365,0.010635961870812926,0.0022751059846155765,0.9997027443345045,0.00047584121255763595,0.6629326624024399,0.2174257820352013,0.699775849904276,0.22952862136028018
