dataset,reported_as,tail_flip_rate,seed,method,tail_label,tail_label_name,train_tail_count,test_tail_count,train_tail_flipped_count,clean_suspicious_tail_count,clean_suspicious_tail_recovery_rate,clean_suspicious_tail_retained_rate,test_tail_recall,mean_tail_evidence,mean_tail_cdm,mean_tail_weight
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-soft,5,5,78,34,48,4,1.0,1.0,0.35294117647058826,0.21796164575962665,0.12595141440395505,0.8519310665364196
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-soft,6,6,81,36,49,4,1.0,1.0,0.5555555555555556,0.2139862381081291,0.13495353878207136,0.8428513516204333
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-soft,9,9,49,37,24,2,1.0,1.0,0.13513513513513514,0.26013973358533243,0.12852736118438368,0.8567465775009547
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-soft,10,10,22,9,12,4,1.0,1.0,0.6666666666666666,0.3763820038664641,0.25272163754698107,0.8502103496527756
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-semisup,1,1,29,12,22,4,0.0,1.0,0.08333333333333333,0.23866446098752922,0.17910647839223096,0.8719974640370144
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-semisup,5,5,78,34,48,4,0.25,1.0,0.29411764705882354,0.21796164575962665,0.12595141440395505,0.8519310665364196
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-semisup,6,6,81,36,49,4,0.0,1.0,0.3888888888888889,0.2139862381081291,0.13495353878207136,0.8428513516204333
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-semisup,9,9,49,37,24,2,0.0,1.0,0.1891891891891892,0.26013973358533243,0.12852736118438368,0.8567465775009547
cicids2017,CICIDS-2017,0.6,0,Graph-CoLD-semisup,10,10,22,9,12,4,0.0,1.0,0.3333333333333333,0.3763820038664641,0.25272163754698107,0.8502103496527756
cicids2017,CICIDS-2017,0.8,0,CoLD,1,1,29,12,24,1,0.0,0.0,0.0,0.17099506926892416,0.08524937502517214,0.8275862068965517
cicids2017,CICIDS-2017,0.8,0,CoLD,5,5,78,34,60,4,0.0,0.0,0.0,0.144668946666769,0.0944407009633504,0.7692307692307693
cicids2017,CICIDS-2017,0.8,0,CoLD,6,6,81,36,64,6,0.0,0.0,0.0,0.13412109497124167,0.12021136365770904,0.7777777777777778
cicids2017,CICIDS-2017,0.8,0,CoLD,9,9,49,37,43,3,0.0,0.0,0.0,0.11113693202769416,0.08477125072000852,0.8775510204081632
cicids2017,CICIDS-2017,0.8,0,CoLD,10,10,22,9,16,2,0.0,0.0,0.0,0.24841545860965145,0.1461912434274811,0.7272727272727273
cicids2017,CICIDS-2017,0.8,0,ablation_hard,1,1,29,12,24,1,0.0,0.0,0.0,0.17099506926892416,0.08524937502517214,0.9655172413793104
cicids2017,CICIDS-2017,0.8,0,ablation_hard,5,5,78,34,60,4,0.0,0.0,0.058823529411764705,0.144668946666769,0.0944407009633504,0.9487179487179487
cicids2017,CICIDS-2017,0.8,0,ablation_hard,6,6,81,36,64,6,0.0,0.0,0.05555555555555555,0.13412109497124167,0.12021136365770904,0.9135802469135802
cicids2017,CICIDS-2017,0.8,0,ablation_hard,9,9,49,37,43,3,0.0,0.0,0.0,0.11113693202769416,0.08477125072000852,0.9387755102040817
cicids2017,CICIDS-2017,0.8,0,ablation_hard,10,10,22,9,16,2,0.0,0.0,0.2222222222222222,0.24841545860965145,0.1461912434274811,0.9090909090909091
cicids2017,CICIDS-2017,0.8,0,Graph-CoLD-soft,1,1,29,12,24,1,1.0,1.0,0.0,0.17099506926892416,0.08524937502517214,0.8817602395438112
